conversation_id,cluster_id,probability,is_noise
AMZ_029044,3,1.0,False
AMZ_024753,1,1.0,False
AMZ_027706,1,1.0,False
AMZ_002246,8,1.0,False
AMZ_077185,1,1.0,False
AMZ_057599,1,1.0,False
AMZ_016023,1,1.0,False
AMZ_007438,7,1.0,False
AMZ_054847,1,1.0,False
AMZ_024335,1,1.0,False
AMZ_008229,1,1.0,False
AMZ_063538,1,1.0,False
AMZ_012066,1,1.0,False
AMZ_048157,1,1.0,False
AMZ_042098,4,0.3977623484365681,False
AMZ_044857,5,1.0,False
AMZ_029727,1,1.0,False
AMZ_006607,1,1.0,False
AMZ_022706,3,1.0,False
AMZ_027653,1,1.0,False
AMZ_045670,1,1.0,False
AMZ_001816,1,1.0,False
AMZ_072042,5,1.0,False
AMZ_053287,1,1.0,False
AMZ_077687,1,1.0,False
AMZ_006349,1,1.0,False
AMZ_034775,1,1.0,False
AMZ_013814,1,1.0,False
AMZ_070649,1,1.0,False
AMZ_076015,1,1.0,False
AMZ_066234,1,1.0,False
AMZ_002972,1,1.0,False
AMZ_017031,1,1.0,False
AMZ_021995,4,0.4334075125986341,False
AMZ_005062,1,1.0,False
AMZ_047356,7,0.4152949491776095,False
AMZ_021730,1,1.0,False
AMZ_039557,1,1.0,False
AMZ_030719,1,1.0,False
AMZ_017704,1,1.0,False
AMZ_007699,1,1.0,False
AMZ_012679,1,1.0,False
AMZ_003271,1,1.0,False
AMZ_047143,1,1.0,False
AMZ_055320,1,1.0,False
AMZ_065702,1,1.0,False
AMZ_017854,1,1.0,False
AMZ_025025,1,1.0,False
AMZ_038729,3,1.0,False
AMZ_071257,1,1.0,False
AMZ_018906,1,1.0,False
AMZ_054093,9,0.9740813140571261,False
AMZ_022274,1,1.0,False
AMZ_031582,1,1.0,False
AMZ_002946,1,1.0,False
AMZ_022001,1,1.0,False
AMZ_030370,1,1.0,False
AMZ_077344,1,1.0,False
AMZ_060726,1,1.0,False
AMZ_003223,1,1.0,False
AMZ_036557,4,0.3422341220184764,False
AMZ_014349,1,1.0,False
AMZ_006940,1,1.0,False
AMZ_068781,8,1.0,False
AMZ_019316,8,1.0,False
AMZ_008953,1,1.0,False
AMZ_024037,1,1.0,False
AMZ_029932,-1,0.0,True
AMZ_075163,1,1.0,False
AMZ_040830,1,1.0,False
AMZ_023628,1,1.0,False
AMZ_062795,1,1.0,False
AMZ_014098,1,1.0,False
AMZ_074505,1,1.0,False
AMZ_046087,3,1.0,False
AMZ_066594,1,1.0,False
AMZ_026097,7,0.7407874381748276,False
AMZ_052313,1,1.0,False
AMZ_021190,8,0.36729653584347394,False
AMZ_018259,1,1.0,False
AMZ_015119,1,1.0,False
AMZ_040507,-1,0.0,True
AMZ_042826,1,1.0,False
AMZ_037750,1,1.0,False
AMZ_031801,1,1.0,False
AMZ_006040,1,1.0,False
AMZ_073445,1,1.0,False
AMZ_044280,1,1.0,False
AMZ_020073,3,1.0,False
AMZ_000420,1,1.0,False
AMZ_049791,1,1.0,False
AMZ_014122,1,1.0,False
AMZ_067225,1,1.0,False
AMZ_068162,1,1.0,False
AMZ_010207,1,1.0,False
AMZ_071301,7,0.9909155570708607,False
AMZ_072463,-1,0.0,True
AMZ_063597,1,1.0,False
AMZ_014489,1,1.0,False
AMZ_055909,1,1.0,False
AMZ_081583,1,1.0,False
AMZ_071165,5,1.0,False
AMZ_066983,1,1.0,False
AMZ_048253,1,1.0,False
AMZ_008701,1,1.0,False
AMZ_078074,1,1.0,False
AMZ_060376,1,1.0,False
AMZ_013815,1,1.0,False
AMZ_019535,4,0.8878864112120436,False
AMZ_057984,1,1.0,False
AMZ_058001,7,0.34787202062651834,False
AMZ_004233,1,1.0,False
AMZ_068717,1,1.0,False
AMZ_004664,1,1.0,False
AMZ_081110,9,0.9375354831007024,False
AMZ_081734,1,1.0,False
AMZ_044211,1,1.0,False
AMZ_067329,1,1.0,False
AMZ_052311,1,1.0,False
AMZ_068037,1,1.0,False
AMZ_068081,1,1.0,False
AMZ_056365,1,1.0,False
AMZ_016605,1,1.0,False
AMZ_066596,1,1.0,False
AMZ_038490,1,1.0,False
AMZ_008855,1,1.0,False
AMZ_012491,1,1.0,False
AMZ_018183,5,1.0,False
AMZ_022465,1,1.0,False
AMZ_054689,1,1.0,False
AMZ_039678,1,1.0,False
AMZ_000424,1,1.0,False
AMZ_029018,8,1.0,False
AMZ_016422,1,1.0,False
AMZ_019816,2,0.872240278337628,False
AMZ_007041,1,1.0,False
AMZ_079031,1,1.0,False
AMZ_021949,1,1.0,False
AMZ_037913,1,1.0,False
AMZ_032766,1,1.0,False
AMZ_030489,1,1.0,False
AMZ_017465,1,1.0,False
AMZ_035862,1,1.0,False
AMZ_006849,1,1.0,False
AMZ_003588,1,1.0,False
AMZ_027480,1,1.0,False
AMZ_038207,1,1.0,False
AMZ_020211,1,1.0,False
AMZ_071397,1,1.0,False
AMZ_035999,1,1.0,False
AMZ_067135,1,1.0,False
AMZ_027353,1,1.0,False
AMZ_015058,1,1.0,False
AMZ_004125,1,1.0,False
AMZ_039601,1,1.0,False
AMZ_015062,1,1.0,False
AMZ_017503,1,1.0,False
AMZ_070399,1,1.0,False
AMZ_054586,1,1.0,False
AMZ_049512,1,1.0,False
AMZ_061106,1,1.0,False
AMZ_000629,1,1.0,False
AMZ_052810,1,1.0,False
AMZ_033347,1,1.0,False
AMZ_046965,9,1.0,False
AMZ_050284,1,1.0,False
AMZ_079629,1,1.0,False
AMZ_053294,1,1.0,False
AMZ_006323,1,1.0,False
AMZ_015551,1,1.0,False
AMZ_026467,1,1.0,False
AMZ_031884,1,1.0,False
AMZ_067090,1,1.0,False
AMZ_040767,8,1.0,False
AMZ_074598,1,1.0,False
AMZ_073137,1,1.0,False
AMZ_015979,1,1.0,False
AMZ_063247,1,1.0,False
AMZ_048499,1,1.0,False
AMZ_023221,8,1.0,False
AMZ_065526,1,1.0,False
AMZ_074438,1,1.0,False
AMZ_005982,1,1.0,False
AMZ_058919,3,1.0,False
AMZ_068630,1,1.0,False
AMZ_060319,5,1.0,False
AMZ_026436,1,1.0,False
AMZ_014075,1,1.0,False
AMZ_039974,1,1.0,False
AMZ_063267,5,1.0,False
AMZ_021067,6,0.8910903895679373,False
AMZ_061804,5,0.9278639744297631,False
AMZ_063485,1,1.0,False
AMZ_034503,1,1.0,False
AMZ_053600,4,0.3644977638666536,False
AMZ_056541,1,1.0,False
AMZ_013470,1,1.0,False
AMZ_021795,5,1.0,False
AMZ_039446,1,1.0,False
AMZ_011436,1,1.0,False
AMZ_063416,1,1.0,False
AMZ_045183,1,1.0,False
AMZ_055845,1,1.0,False
AMZ_039332,9,0.7588009711046836,False
AMZ_003126,2,1.0,False
AMZ_041444,4,0.16169179541938064,False
AMZ_048553,5,0.8776984814228431,False
AMZ_046028,1,1.0,False
AMZ_021957,1,1.0,False
AMZ_059191,1,1.0,False
AMZ_040125,1,1.0,False
AMZ_016455,1,1.0,False
AMZ_007412,1,1.0,False
AMZ_049586,1,1.0,False
AMZ_016277,1,1.0,False
AMZ_011779,1,1.0,False
AMZ_069752,1,1.0,False
AMZ_003201,1,1.0,False
AMZ_034654,1,1.0,False
AMZ_007038,1,1.0,False
AMZ_019031,1,1.0,False
AMZ_063542,1,1.0,False
AMZ_019259,1,1.0,False
AMZ_037924,5,0.5689600858827184,False
AMZ_025594,1,1.0,False
AMZ_033931,1,1.0,False
AMZ_038875,3,1.0,False
AMZ_028663,1,1.0,False
