conversation_id,umap_x,umap_y
AMZ_029044,4.296741,17.129427
AMZ_024753,8.099703,-2.8334284
AMZ_027706,11.891117,-2.3025954
AMZ_002246,12.317379,17.975792
AMZ_077185,7.215932,-3.651278
AMZ_057599,9.835147,2.068371
AMZ_016023,10.463829,-3.9647195
AMZ_007438,4.859797,14.514618
AMZ_054847,7.581798,-5.1289806
AMZ_024335,8.740553,-4.8059483
AMZ_008229,9.489077,0.4367324
AMZ_063538,10.1493,-4.120342
AMZ_012066,10.699323,-4.3299146
AMZ_048157,9.106665,-3.4227006
AMZ_042098,-5.971966,3.587552
AMZ_044857,-3.921049,5.730608
AMZ_029727,6.8581476,-5.037406
AMZ_006607,11.256478,-3.312619
AMZ_022706,4.8701243,16.643322
AMZ_027653,8.972999,-1.3219403
AMZ_045670,7.020656,-6.1193833
AMZ_001816,10.172395,-1.9198662
AMZ_072042,-3.770937,5.138122
AMZ_053287,7.952324,-6.0887203
AMZ_077687,11.37336,-4.4090195
AMZ_006349,11.633875,-1.9946591
AMZ_034775,9.064582,1.0979536
AMZ_013814,9.245404,-2.7097425
AMZ_070649,6.2279177,-6.8298635
AMZ_076015,10.985023,-1.562094
AMZ_066234,9.689534,1.9507682
AMZ_002972,9.762826,-3.6781752
AMZ_017031,6.685855,-6.6971736
AMZ_021995,-6.217941,3.8093677
AMZ_005062,8.277647,0.52928257
AMZ_047356,4.903774,14.273592
AMZ_021730,9.13558,-2.0267756
AMZ_039557,9.2127495,-1.7314731
AMZ_030719,9.978896,-2.3519464
AMZ_017704,7.613066,-7.8854
AMZ_007699,8.320034,-5.994771
AMZ_012679,8.589057,-2.7277439
AMZ_003271,10.346708,-3.2980373
AMZ_047143,10.672822,-3.4251354
AMZ_055320,11.014559,0.09053701
AMZ_065702,8.985612,-5.9139757
AMZ_017854,6.6051273,-6.9476843
AMZ_025025,9.5960045,2.1731458
AMZ_038729,4.63727,17.26179
AMZ_071257,9.713313,-4.317973
AMZ_018906,11.390019,-3.1914842
AMZ_054093,11.747977,16.226385
AMZ_022274,10.215872,-1.4397177
AMZ_031582,7.0219116,-2.739719
AMZ_002946,10.634429,-1.6965612
AMZ_022001,8.111603,-5.51005
AMZ_030370,8.426208,-2.5592449
AMZ_077344,9.308091,-0.14112082
AMZ_060726,8.088571,-4.4352093
AMZ_003223,8.398997,-2.5284338
AMZ_036557,-5.8295727,4.2348804
AMZ_014349,11.329457,-4.4112034
AMZ_006940,9.631755,-2.6957386
AMZ_068781,12.235647,18.026407
AMZ_019316,11.831279,17.44505
AMZ_008953,8.862869,-6.277857
AMZ_024037,11.832223,-1.1015329
AMZ_029932,11.212636,16.543455
AMZ_075163,9.907108,-2.6770382
AMZ_040830,7.159443,-5.505623
AMZ_023628,9.423325,-3.813804
AMZ_062795,7.2614546,-6.363007
AMZ_014098,11.265638,-2.409617
AMZ_074505,7.293349,-4.1565576
AMZ_046087,4.4739175,17.200754
AMZ_066594,8.913279,-4.5093827
AMZ_026097,4.959259,14.466554
AMZ_052313,8.31097,-5.8302894
AMZ_021190,11.4368,16.712547
AMZ_018259,8.630106,-4.348514
AMZ_015119,6.902555,-6.935678
AMZ_040507,6.5943503,-0.071742184
AMZ_042826,11.229647,-0.14162837
AMZ_037750,8.896788,-4.0665317
AMZ_031801,6.4976764,-3.9295223
AMZ_006040,9.224632,-3.176818
AMZ_073445,7.282779,-5.8590198
AMZ_044280,6.8098693,-7.111881
AMZ_020073,4.356214,16.87028
AMZ_000420,11.058163,2.1477897
AMZ_049791,7.3493853,-5.3642254
AMZ_014122,11.137834,-3.1356313
AMZ_067225,9.92195,-3.324523
AMZ_068162,7.1450524,-6.666566
AMZ_010207,6.7382817,-4.9225774
AMZ_071301,4.936465,14.478975
AMZ_072463,12.017137,16.583443
AMZ_063597,9.498206,-2.0634825
AMZ_014489,10.292218,-5.490895
AMZ_055909,9.558107,0.93762404
AMZ_081583,8.466791,-3.0692372
AMZ_071165,-4.6501737,5.284002
AMZ_066983,11.114843,-1.2589805
AMZ_048253,10.220322,-2.6315653
AMZ_008701,8.980147,-6.0310903
AMZ_078074,7.5392146,-5.335716
AMZ_060376,8.810962,-4.685923
AMZ_013815,9.92486,-3.7077086
AMZ_019535,-6.258942,3.9291544
AMZ_057984,8.307416,0.48136753
AMZ_058001,4.8718014,14.272722
AMZ_004233,9.51262,0.87034523
AMZ_068717,8.217026,-4.4900646
AMZ_004664,9.815751,-7.363018
AMZ_081110,11.688105,15.65518
AMZ_081734,9.052763,-1.3400081
AMZ_044211,9.785242,-2.0522993
AMZ_067329,8.707114,-4.267061
AMZ_052311,7.314805,-5.2286544
AMZ_068037,6.69954,-3.991942
AMZ_068081,9.3466625,-4.140371
AMZ_056365,8.950238,-5.937137
AMZ_016605,8.810745,-5.63254
AMZ_066596,11.810845,-1.0814791
AMZ_038490,6.792548,-6.998717
AMZ_008855,8.119595,-5.410996
AMZ_012491,11.082226,-2.365006
AMZ_018183,-3.9911113,5.5566463
AMZ_022465,12.035137,-0.7387714
AMZ_054689,6.8907566,-3.2920835
AMZ_039678,7.758139,-5.796678
AMZ_000424,9.286,1.9099065
AMZ_029018,11.973603,17.12688
AMZ_016422,9.281434,0.48334473
AMZ_019816,10.622558,14.78578
AMZ_007041,8.6101265,-2.8382545
AMZ_079031,7.407728,-2.6649253
AMZ_021949,10.982418,-2.1683512
AMZ_037913,7.527956,-3.8915186
AMZ_032766,10.466947,-3.8519244
AMZ_030489,8.005606,-3.092156
AMZ_017465,8.531212,-2.545389
AMZ_035862,9.588074,1.849031
AMZ_006849,7.335437,-7.158198
AMZ_003588,8.217287,-4.588466
AMZ_027480,9.431421,-0.23014472
AMZ_038207,9.221183,-1.6445917
AMZ_020211,9.5016365,0.09307602
AMZ_071397,7.672252,-4.607487
AMZ_035999,10.455278,-2.8229566
AMZ_067135,8.342091,0.54443103
AMZ_027353,10.452501,-2.652779
AMZ_015058,9.219671,-0.08092595
AMZ_004125,6.131376,-2.5138865
AMZ_039601,10.680762,0.47198397
AMZ_015062,8.132321,-7.0787053
AMZ_017503,7.334947,-7.850064
AMZ_070399,7.124291,-4.63246
AMZ_054586,6.5646167,-4.4227676
