document_id,conversation_id,intent_label,intent_category,language,message_count,embedding_dimension
AMZ_000040|Customer Amazon Order|ja,AMZ_000040,Customer Amazon Order,Orders,ja,6,384
AMZ_000089|Customer Amazon Order|ja,AMZ_000089,Customer Amazon Order,Orders,ja,11,384
AMZ_000107|Que Amazon Customer|es,AMZ_000107,Que Amazon Customer,Returns & Refunds,es,2,384
AMZ_000111|Customer Amazon Order|ja,AMZ_000111,Customer Amazon Order,Orders,ja,3,384
AMZ_000115|Customer Amazon Order|de,AMZ_000115,Customer Amazon Order,Orders,de,8,384
AMZ_000125|Customer Amazon Order|ja,AMZ_000125,Customer Amazon Order,Orders,ja,4,384
AMZ_000128|Customer Amazon Order|ja,AMZ_000128,Customer Amazon Order,Orders,ja,3,384
AMZ_000129|Customer Amazon Order|ja,AMZ_000129,Customer Amazon Order,Orders,ja,9,384
AMZ_000143|Que Amazon Customer|es,AMZ_000143,Que Amazon Customer,Returns & Refunds,es,2,384
AMZ_000151|Customer Amazon Order|ja,AMZ_000151,Customer Amazon Order,Orders,ja,2,384
AMZ_000152|Customer Amazon Order|de,AMZ_000152,Customer Amazon Order,Orders,de,2,384
AMZ_000157|Customer Amazon Order|ja,AMZ_000157,Customer Amazon Order,Orders,ja,4,384
AMZ_000159|Customer Amazon Order|ja,AMZ_000159,Customer Amazon Order,Orders,ja,2,384
AMZ_000162|Customer Amazon Order|de,AMZ_000162,Customer Amazon Order,Orders,de,4,384
AMZ_000187|Customer Amazon Order|de,AMZ_000187,Customer Amazon Order,Orders,de,7,384
AMZ_000192|Customer Amazon Order|ja,AMZ_000192,Customer Amazon Order,Orders,ja,3,384
AMZ_000197|Customer Amazon Order|ja,AMZ_000197,Customer Amazon Order,Orders,ja,3,384
AMZ_000222|Customer Amazon Order|de,AMZ_000222,Customer Amazon Order,Orders,de,2,384
AMZ_000223|Customer Amazon Order|ja,AMZ_000223,Customer Amazon Order,Orders,ja,2,384
AMZ_000226|Customer Amazon Order|ja,AMZ_000226,Customer Amazon Order,Orders,ja,2,384
AMZ_000227|Amazon Customer Tn|ja,AMZ_000227,Amazon Customer Tn,Prime Membership,ja,2,384
AMZ_000254|Customer Amazon Order|ja,AMZ_000254,Customer Amazon Order,Orders,ja,9,384
AMZ_000257|Customer Amazon Order|ja,AMZ_000257,Customer Amazon Order,Orders,ja,6,384
AMZ_000267|Customer Amazon Order|ja,AMZ_000267,Customer Amazon Order,Orders,ja,4,384
AMZ_000268|Customer Amazon Order|ja,AMZ_000268,Customer Amazon Order,Orders,ja,3,384
AMZ_000274|Customer Amazon Order|de,AMZ_000274,Customer Amazon Order,Orders,de,22,384
AMZ_000278|Amazon Customer Tn|ja,AMZ_000278,Amazon Customer Tn,Prime Membership,ja,2,384
AMZ_000279|Customer Amazon Order|de,AMZ_000279,Customer Amazon Order,Orders,de,3,384
AMZ_000298|Customer Amazon Order|ja,AMZ_000298,Customer Amazon Order,Orders,ja,10,384
AMZ_000305|Customer Amazon Order|de,AMZ_000305,Customer Amazon Order,Orders,de,2,384
AMZ_000314|Customer Amazon Order|ja,AMZ_000314,Customer Amazon Order,Orders,ja,2,384
AMZ_000324|Amazon Customer Tn|ja,AMZ_000324,Amazon Customer Tn,Prime Membership,ja,4,384
AMZ_000331|Customer Amazon Order|de,AMZ_000331,Customer Amazon Order,Orders,de,11,384
AMZ_000343|Customer Amazon Order|ja,AMZ_000343,Customer Amazon Order,Orders,ja,4,384
AMZ_000348|Customer Amazon Order|ja,AMZ_000348,Customer Amazon Order,Orders,ja,6,384
AMZ_000352|Customer Amazon Order|ja,AMZ_000352,Customer Amazon Order,Orders,ja,2,384
AMZ_000357|Customer Amazon Order|ja,AMZ_000357,Customer Amazon Order,Orders,ja,6,384
AMZ_000370|Customer Amazon Order|de,AMZ_000370,Customer Amazon Order,Orders,de,2,384
AMZ_000374|Customer Amazon Order|ja,AMZ_000374,Customer Amazon Order,Orders,ja,4,384
AMZ_000379|Amazon Customer Tn|ja,AMZ_000379,Amazon Customer Tn,Prime Membership,ja,7,384
AMZ_000380|Customer Amazon Order|ja,AMZ_000380,Customer Amazon Order,Orders,ja,2,384
AMZ_000381|Customer Amazon Order|ja,AMZ_000381,Customer Amazon Order,Orders,ja,5,384
AMZ_000384|Customer Amazon Order|ja,AMZ_000384,Customer Amazon Order,Orders,ja,2,384
AMZ_000401|Customer Amazon Order|ja,AMZ_000401,Customer Amazon Order,Orders,ja,13,384
AMZ_000411|Customer Amazon Order|ja,AMZ_000411,Customer Amazon Order,Orders,ja,6,384
AMZ_000420|Customer Amazon Order|ja,AMZ_000420,Customer Amazon Order,Orders,ja,4,384
AMZ_000423|Customer Amazon Order|de,AMZ_000423,Customer Amazon Order,Orders,de,3,384
AMZ_000424|Customer Amazon Order|ja,AMZ_000424,Customer Amazon Order,Orders,ja,2,384
AMZ_000431|Customer Amazon Order|ja,AMZ_000431,Customer Amazon Order,Orders,ja,3,384
AMZ_000434|Customer Amazon Order|ja,AMZ_000434,Customer Amazon Order,Orders,ja,2,384
AMZ_000440|Customer Amazon Order|de,AMZ_000440,Customer Amazon Order,Orders,de,14,384
AMZ_000442|Amazon Customer Contest|ja,AMZ_000442,Amazon Customer Contest,Promotions & Coupons,ja,2,384
AMZ_000447|Customer Amazon Order|de,AMZ_000447,Customer Amazon Order,Orders,de,9,384
AMZ_000455|Customer Amazon Order|ja,AMZ_000455,Customer Amazon Order,Orders,ja,2,384
AMZ_000458|Customer Amazon Order|ja,AMZ_000458,Customer Amazon Order,Orders,ja,2,384
AMZ_000459|Customer Amazon Order|ja,AMZ_000459,Customer Amazon Order,Orders,ja,3,384
AMZ_000461|Amazon Vous Customer|fr,AMZ_000461,Amazon Vous Customer,Delivery,fr,17,384
AMZ_000475|Customer Amazon Order|ja,AMZ_000475,Customer Amazon Order,Orders,ja,6,384
AMZ_000477|Customer Amazon Order|ja,AMZ_000477,Customer Amazon Order,Orders,ja,3,384
AMZ_000478|Customer Amazon Order|ja,AMZ_000478,Customer Amazon Order,Orders,ja,2,384
AMZ_000479|Customer Amazon Order|ja,AMZ_000479,Customer Amazon Order,Orders,ja,2,384
AMZ_000485|Customer Amazon Order|de,AMZ_000485,Customer Amazon Order,Orders,de,11,384
AMZ_000502|Customer Amazon Order|ja,AMZ_000502,Customer Amazon Order,Orders,ja,2,384
AMZ_000525|Customer Amazon Order|de,AMZ_000525,Customer Amazon Order,Orders,de,20,384
AMZ_000526|Amazon Vous Customer|fr,AMZ_000526,Amazon Vous Customer,Delivery,fr,3,384
AMZ_000544|Customer Amazon Order|ja,AMZ_000544,Customer Amazon Order,Orders,ja,2,384
AMZ_000550|Amazon Customer Tn|ja,AMZ_000550,Amazon Customer Tn,Prime Membership,ja,2,384
AMZ_000564|Amazon Vous Customer|ja,AMZ_000564,Amazon Vous Customer,Delivery,ja,4,384
AMZ_000565|Customer Amazon Order|ja,AMZ_000565,Customer Amazon Order,Orders,ja,2,384
AMZ_000574|Amazon Customer Tn|ja,AMZ_000574,Amazon Customer Tn,Prime Membership,ja,18,384
AMZ_000582|Customer Amazon Die|de,AMZ_000582,Customer Amazon Die,Login & Authentication,de,6,384
AMZ_000619|Customer Amazon Order|ja,AMZ_000619,Customer Amazon Order,Orders,ja,5,384
AMZ_000628|Customer Amazon Order|de,AMZ_000628,Customer Amazon Order,Orders,de,9,384
AMZ_000629|Customer Amazon Order|ja,AMZ_000629,Customer Amazon Order,Orders,ja,4,384
AMZ_000630|Customer Amazon Order|ja,AMZ_000630,Customer Amazon Order,Orders,ja,2,384
AMZ_000631|Customer Amazon Order|ja,AMZ_000631,Customer Amazon Order,Orders,ja,5,384
AMZ_000633|Customer Amazon Order|de,AMZ_000633,Customer Amazon Order,Orders,de,3,384
AMZ_000644|Customer Amazon Order|ja,AMZ_000644,Customer Amazon Order,Orders,ja,2,384
AMZ_000647|Customer Amazon Order|de,AMZ_000647,Customer Amazon Order,Orders,de,7,384
AMZ_000653|Customer Amazon Order|de,AMZ_000653,Customer Amazon Order,Orders,de,31,384
AMZ_000656|Amazon Customer Tn|ja,AMZ_000656,Amazon Customer Tn,Prime Membership,ja,3,384
AMZ_000663|Amazon Vous Customer|fr,AMZ_000663,Amazon Vous Customer,Delivery,fr,6,384
AMZ_000675|Customer Amazon Order|ja,AMZ_000675,Customer Amazon Order,Orders,ja,10,384
AMZ_000680|Customer Amazon Order|ja,AMZ_000680,Customer Amazon Order,Orders,ja,5,384
AMZ_000681|Customer Amazon Order|ja,AMZ_000681,Customer Amazon Order,Orders,ja,11,384
AMZ_000690|Customer Amazon Order|de,AMZ_000690,Customer Amazon Order,Orders,de,6,384
AMZ_000697|Customer Amazon Order|ja,AMZ_000697,Customer Amazon Order,Orders,ja,4,384
AMZ_000702|Customer Amazon Order|de,AMZ_000702,Customer Amazon Order,Orders,de,7,384
AMZ_000703|Customer Amazon Order|ja,AMZ_000703,Customer Amazon Order,Orders,ja,10,384
AMZ_000709|Customer Amazon Order|de,AMZ_000709,Customer Amazon Order,Orders,de,7,384
